2025-02-27 18:34:12,670 - INFO - Starting training process...
2025-02-27 18:34:12,670 - INFO - Logs will be saved to: logs/training_20250227_183412.log
2025-02-27 18:34:12,670 - INFO - Models will be saved to: models/run_20250227_183412
2025-02-27 18:34:12,670 - INFO - Loading data from full_patient_dataset.csv...
2025-02-27 18:34:15,285 - INFO - Dataset sizes:
2025-02-27 18:34:15,285 - INFO - Training samples: 708097
2025-02-27 18:34:15,285 - INFO - Validation samples: 148515
2025-02-27 18:34:15,285 - INFO - Test samples: 189426
2025-02-27 18:34:15,286 - INFO - Initializing model...
2025-02-27 18:34:15,309 - INFO - Using device: mps
2025-02-27 18:34:15,309 - INFO - Looking at 4.0 hours of data to predict 1.0 hours ahead
2025-02-27 18:34:16,698 - ERROR - Error in training batch 47: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,706 - ERROR - Error in training batch 48: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,712 - ERROR - Error in training batch 49: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,720 - ERROR - Error in training batch 50: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,727 - ERROR - Error in training batch 51: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,734 - ERROR - Error in training batch 52: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,742 - ERROR - Error in training batch 53: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,750 - ERROR - Error in training batch 54: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,757 - ERROR - Error in training batch 55: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,765 - ERROR - Error in training batch 56: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,772 - ERROR - Error in training batch 57: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,779 - ERROR - Error in training batch 58: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,786 - ERROR - Error in training batch 59: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,793 - ERROR - Error in training batch 60: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,800 - ERROR - Error in training batch 61: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,807 - ERROR - Error in training batch 62: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,814 - ERROR - Error in training batch 63: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,821 - ERROR - Error in training batch 64: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,828 - ERROR - Error in training batch 65: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,835 - ERROR - Error in training batch 66: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,842 - ERROR - Error in training batch 67: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,850 - ERROR - Error in training batch 68: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,857 - ERROR - Error in training batch 69: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,865 - ERROR - Error in training batch 70: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,872 - ERROR - Error in training batch 71: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,878 - ERROR - Error in training batch 72: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,885 - ERROR - Error in training batch 73: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,892 - ERROR - Error in training batch 74: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,900 - ERROR - Error in training batch 75: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,907 - ERROR - Error in training batch 76: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,914 - ERROR - Error in training batch 77: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,919 - ERROR - Error in training batch 78: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,924 - ERROR - Error in training batch 79: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,928 - ERROR - Error in training batch 80: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,933 - ERROR - Error in training batch 81: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,938 - ERROR - Error in training batch 82: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,943 - ERROR - Error in training batch 83: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,948 - ERROR - Error in training batch 84: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,952 - ERROR - Error in training batch 85: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,957 - ERROR - Error in training batch 86: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,962 - ERROR - Error in training batch 87: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,966 - ERROR - Error in training batch 88: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,972 - ERROR - Error in training batch 89: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,976 - ERROR - Error in training batch 90: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,982 - ERROR - Error in training batch 91: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,986 - ERROR - Error in training batch 92: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,991 - ERROR - Error in training batch 93: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:16,996 - ERROR - Error in training batch 94: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,002 - ERROR - Error in training batch 95: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,006 - ERROR - Error in training batch 96: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,012 - ERROR - Error in training batch 97: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,017 - ERROR - Error in training batch 98: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,023 - ERROR - Error in training batch 99: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,029 - ERROR - Error in training batch 100: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,034 - ERROR - Error in training batch 101: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,040 - ERROR - Error in training batch 102: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,045 - ERROR - Error in training batch 103: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,051 - ERROR - Error in training batch 104: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,057 - ERROR - Error in training batch 105: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,064 - ERROR - Error in training batch 106: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,070 - ERROR - Error in training batch 107: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,076 - ERROR - Error in training batch 108: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,083 - ERROR - Error in training batch 109: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,090 - ERROR - Error in training batch 110: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,097 - ERROR - Error in training batch 111: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,104 - ERROR - Error in training batch 112: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,111 - ERROR - Error in training batch 113: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,118 - ERROR - Error in training batch 114: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,124 - ERROR - Error in training batch 115: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,131 - ERROR - Error in training batch 116: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,139 - ERROR - Error in training batch 117: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,146 - ERROR - Error in training batch 118: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,153 - ERROR - Error in training batch 119: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,160 - ERROR - Error in training batch 120: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,167 - ERROR - Error in training batch 121: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,174 - ERROR - Error in training batch 122: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,181 - ERROR - Error in training batch 123: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,189 - ERROR - Error in training batch 124: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,195 - ERROR - Error in training batch 125: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,201 - ERROR - Error in training batch 126: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,206 - ERROR - Error in training batch 127: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,211 - ERROR - Error in training batch 128: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,216 - ERROR - Error in training batch 129: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,221 - ERROR - Error in training batch 130: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,225 - ERROR - Error in training batch 131: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,230 - ERROR - Error in training batch 132: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,235 - ERROR - Error in training batch 133: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,240 - ERROR - Error in training batch 134: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,245 - ERROR - Error in training batch 135: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,249 - ERROR - Error in training batch 136: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,254 - ERROR - Error in training batch 137: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,259 - ERROR - Error in training batch 138: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,264 - ERROR - Error in training batch 139: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,268 - ERROR - Error in training batch 140: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,274 - ERROR - Error in training batch 141: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,279 - ERROR - Error in training batch 142: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,284 - ERROR - Error in training batch 143: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,289 - ERROR - Error in training batch 144: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,294 - ERROR - Error in training batch 145: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,299 - ERROR - Error in training batch 146: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,305 - ERROR - Error in training batch 147: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,309 - ERROR - Error in training batch 148: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,315 - ERROR - Error in training batch 149: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,322 - ERROR - Error in training batch 150: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,327 - ERROR - Error in training batch 151: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,333 - ERROR - Error in training batch 152: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,339 - ERROR - Error in training batch 153: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
